"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","@realDonaldTrump Why is US not handling Covid 19 as well as Israel?",FALSE,0,"realDonaldTrump",2020-05-07 23:55:57,FALSE,"1258479301994954754","1258546140623958016","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cnocbeag",0,FALSE,FALSE,NA,NA
"29","RT @Carmine_Zozzora: How many thousands of COVID-19 deaths in the U.S. resulted from the media and left’s calls to ignore the threat and in…",FALSE,0,NA,2020-05-07 23:55:51,FALSE,NA,"1258546117542731776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rem3276",165,TRUE,FALSE,NA,NA
"30","@AyalaniMaendra @DonaldJTrumpJr @realDonaldTrump @WhiteHouse @photowhitehouse A big moment will be when he gets pro… https://t.co/GT2OVOtkzs",FALSE,1,"AyalaniMaendra",2020-05-07 23:55:43,TRUE,"1258481628533395457","1258546082457374722","1246533103918538753","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TurboKia",0,FALSE,FALSE,NA,NA
"31","Why a @realDonaldTrump 2016 #Illinois delegate will not support him in 2020: #COVID19 #twill  https://t.co/Exwk9heomK",FALSE,5,NA,2020-05-07 23:55:16,FALSE,NA,"1258545970259693569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lynnsweet",2,FALSE,FALSE,NA,NA
"32","RT @dcexaminer: ""Impeachment 2.0"" or ""C.O.U.P""

@GOPLeader, @RepAndyBiggsAZ, and @RepLouieGohmert call out the anti-@realdonaldTrump COVID-…",FALSE,0,NA,2020-05-07 23:54:53,FALSE,NA,"1258545873404833794",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MissyJo79",94,TRUE,FALSE,NA,NA
"33","RT @realannapaulina: Today I launch the #ThankYou45 campaign to highlight how @realDonaldTrump has delivered for FL to respond to COVID-19.…",FALSE,0,NA,2020-05-07 23:54:52,FALSE,NA,"1258545870225551361",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","raybae689",272,TRUE,FALSE,NA,NA
"34","@realDonaldTrump The spirit of the President, focus on handling covid - 19. Don't be prejudiced on the outside.",FALSE,0,"realDonaldTrump",2020-05-07 23:54:41,FALSE,"1253683467801563138","1258545821710036992","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PopaloAhmad",0,FALSE,FALSE,NA,NA
"35","You all realize that with 33 million Americans out of work now, that's ONE in TEN people who lost their job due to… https://t.co/TLQdXUG71z",FALSE,6,NA,2020-05-07 23:54:39,TRUE,NA,"1258545814978260992",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AngieinWAState",1,FALSE,FALSE,NA,NA
"36","RT @DrDenaGrayson: Whoops! @realDonaldTrump's personal valet **who serves Trump's food and beverage** has tested positive for #coronavirus.…",FALSE,0,NA,2020-05-07 23:54:12,FALSE,NA,"1258545700419145729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DarinOlson5",659,TRUE,FALSE,NA,NA
"37","@kyledcheney @juliabhaber &amp; what a co-inkydink that @TheJusticeDept #AGBarr let Flynn walk free today, also good di… https://t.co/JEb5flv9yw",FALSE,10,"kyledcheney",2020-05-07 23:54:11,TRUE,"1258508148245028864","1258545698661781504","23578274","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","grey_sister",3,FALSE,FALSE,NA,NA
"38","RT @Trey_VonDinkis: @realDonaldTrump .
☑️ VIRUS CRIME

- VERITAS EXPOSES MORE PROOF that 'DEATH' NUMBERS are BEING INFLATED

Project Verita…",FALSE,0,NA,2020-05-07 23:54:07,FALSE,NA,"1258545679686709249",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ConnieAustinTX",468,TRUE,FALSE,NA,NA
"39","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:53:58,FALSE,NA,"1258545640704864256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Noki36510",1300,TRUE,FALSE,NA,NA
"40","Out of respect for these veterans, @realDonaldTrump  should suck it up and wear a mask. And, physically distance. H… https://t.co/oR0Joiw5e5",FALSE,0,NA,2020-05-07 23:53:46,TRUE,NA,"1258545593774862336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sanderhaugen",0,FALSE,FALSE,NA,NA
